"Date.Time","Lat","Lon","Base","Year","Month","Day","Weekday","Hour","Minute","Second"
"2014-04-01 06:14:00",40.7249,-74.0355,"B02512",2014,4,1,3,6,14,0
"2014-04-01 06:14:00",40.6193,-74.157,"B02512",2014,4,1,3,6,14,0
"2014-04-01 06:15:00",40.7753,-73.978,"B02512",2014,4,1,3,6,15,0
"2014-04-01 06:15:00",40.7204,-73.9545,"B02512",2014,4,1,3,6,15,0
"2014-04-01 06:16:00",40.7772,-73.9595,"B02512",2014,4,1,3,6,16,0
"2014-04-01 06:17:00",40.7651,-74.082,"B02512",2014,4,1,3,6,17,0
"2014-04-01 06:17:00",40.74,-73.9879,"B02512",2014,4,1,3,6,17,0
"2014-04-01 06:19:00",40.7741,-73.9568,"B02512",2014,4,1,3,6,19,0
"2014-04-01 06:20:00",40.7599,-73.9944,"B02512",2014,4,1,3,6,20,0
"2014-04-01 06:21:00",40.7531,-74.0039,"B02512",2014,4,1,3,6,21,0
"2014-04-01 06:22:00",40.7791,-73.9623,"B02512",2014,4,1,3,6,22,0
"2014-04-01 06:25:00",40.7382,-74.0033,"B02512",2014,4,1,3,6,25,0
"2014-04-01 06:31:00",40.7391,-73.9989,"B02512",2014,4,1,3,6,31,0
"2014-04-01 06:31:00",40.7806,-73.982,"B02512",2014,4,1,3,6,31,0
"2014-04-01 06:32:00",40.7322,-73.9863,"B02512",2014,4,1,3,6,32,0
"2014-04-01 06:33:00",40.7703,-73.966,"B02512",2014,4,1,3,6,33,0
"2014-04-01 06:34:00",40.7221,-74.0018,"B02512",2014,4,1,3,6,34,0
"2014-04-01 06:35:00",40.7588,-73.9895,"B02512",2014,4,1,3,6,35,0
"2014-04-01 06:36:00",40.7677,-73.9656,"B02512",2014,4,1,3,6,36,0
"2014-04-01 06:37:00",40.7404,-74.0076,"B02512",2014,4,1,3,6,37,0
"2014-04-01 06:38:00",40.7679,-73.9599,"B02512",2014,4,1,3,6,38,0
"2014-04-01 06:39:00",40.7694,-73.9852,"B02512",2014,4,1,3,6,39,0
"2014-04-01 06:40:00",40.7858,-73.9546,"B02512",2014,4,1,3,6,40,0
"2014-04-01 06:40:00",40.7742,-73.9491,"B02512",2014,4,1,3,6,40,0
"2014-04-01 06:42:00",40.7703,-73.95,"B02512",2014,4,1,3,6,42,0
"2014-04-01 06:42:00",40.7614,-73.9997,"B02512",2014,4,1,3,6,42,0
